t,a,v,soc,kw
43188,206.6,395.5,45.31,81.73
43189,206.8,395.3,45.34,81.74
43190,206.7,396.0,45.39,81.85
43191,206.7,395.1,45.42,81.67
43192,206.6,395.7,45.45,81.74
43193,206.5,395.3,45.48,81.65
43194,206.5,395.3,45.51,81.65
43195,206.5,396.0,45.55,81.76
43196,206.4,396.0,45.59,81.75
43197,206.5,396.0,45.62,81.77
43198,206.4,395.8,45.65,81.71
43199,206.3,395.5,45.69,81.61
43200,206.3,395.7,45.73,81.63
43201,206.3,395.0,45.77,81.49
43202,206.3,395.0,45.8,81.47
43203,206.2,395.0,45.85,81.45
43204,206.1,396.0,45.89,81.62
43205,206.1,395.2,45.93,81.46
43206,206.1,395.5,45.97,81.5
43207,206.2,395.8,45.99,81.62
43208,206.9,395.6,46.03,81.83
43209,207.0,395.7,46.05,81.89
43210,207.0,395.7,46.09,81.9
43211,206.9,396.0,46.11,81.95
43212,206.9,396.0,46.15,81.92
43213,206.9,396.0,46.19,81.92
43214,206.9,395.8,46.22,81.89
43215,206.8,395.5,46.26,81.8
43216,206.8,396.0,46.29,81.88
43217,206.7,396.0,46.33,81.85
43218,206.6,396.0,46.37,81.82
43219,206.6,396.0,46.41,81.82
43220,206.5,395.3,46.45,81.64
43221,206.5,395.9,46.48,81.73
43222,206.5,395.5,46.51,81.67
43223,206.5,396.0,46.53,81.77
43224,206.4,396.0,46.57,81.74
43225,206.4,396.0,46.6,81.72
43226,206.3,396.0,46.63,81.7
43227,206.3,396.0,46.66,81.7
43228,206.3,396.0,46.69,81.7
43229,206.5,395.7,46.72,81.72
43230,207.0,395.7,46.76,81.92
43231,207.5,396.0,46.79,82.17
43232,208.1,396.0,46.81,82.41
43233,207.6,396.0,46.84,82.2
43234,207.3,396.0,46.87,82.08
43235,207.3,396.0,46.91,82.08
43236,207.1,396.0,46.94,82.0
43237,206.9,396.0,46.97,81.92
43238,206.8,396.0,47.0,81.91
43239,206.8,396.0,47.03,81.88
43240,206.6,396.0,47.07,81.81
43241,206.5,396.0,47.09,81.77
43242,206.4,396.0,47.13,81.73
43243,206.2,396.0,47.16,81.65
43244,206.0,396.0,47.2,81.59
43245,206.4,396.0,47.23,81.72
43246,206.7,396.0,47.26,81.85
43247,206.6,396.0,47.29,81.81
43248,206.4,396.0,47.31,81.72
43249,206.2,396.0,47.36,81.64
43250,206.1,396.0,47.38,81.63
43251,205.8,396.0,47.42,81.51
43252,206.7,396.0,47.45,81.85
43253,206.5,396.0,47.48,81.79
43254,206.4,396.0,47.52,81.72
43255,206.2,396.0,47.55,81.66
43256,206.1,396.0,47.57,81.6
43257,206.0,396.0,47.6,81.57
43258,206.1,396.0,47.64,81.6
43259,206.0,396.0,47.67,81.58
43260,206.0,396.0,47.7,81.59
43261,206.0,396.0,47.74,81.59
43262,206.0,396.0,47.76,81.58
43263,206.0,396.0,47.8,81.58
43264,205.9,396.0,47.83,81.54
43265,206.5,396.0,47.86,81.78
43266,206.9,396.0,47.89,81.92
43267,206.9,396.0,47.92,81.92
43268,206.9,396.0,47.95,81.92
43269,206.9,396.0,47.99,81.92
43270,206.8,396.0,48.02,81.9
43271,206.8,396.0,48.05,81.9
43272,206.8,396.0,48.08,81.9
43273,206.8,396.0,48.12,81.9
43274,206.7,396.0,48.15,81.87
43275,206.6,396.0,48.17,81.83
43276,206.6,396.0,48.21,81.83
43277,206.6,396.0,48.23,81.8
43278,206.6,396.0,48.27,81.8
43279,206.6,396.0,48.3,81.8
43280,206.5,396.0,48.33,81.78
43281,206.5,396.0,48.36,81.79
43282,206.5,396.0,48.39,81.77
43283,206.5,396.0,48.43,81.77
43284,206.5,396.0,48.45,81.77
43285,206.5,396.0,48.48,81.77
43286,206.4,396.0,48.51,81.73
43287,206.4,396.0,48.54,81.72
43288,206.3,396.0,48.57,81.71
43289,206.3,396.0,48.59,81.7
43290,206.3,396.0,48.63,81.69
43291,206.3,396.0,48.65,81.7
43292,206.2,396.0,48.69,81.67
43293,206.2,396.0,48.71,81.66
43294,206.3,396.0,48.75,81.69
43295,206.3,396.0,48.78,81.68
43296,206.2,396.0,48.8,81.65
43297,206.2,396.0,48.83,81.65
43298,206.2,396.0,48.87,81.65
43299,206.1,396.0,48.9,81.62
43300,206.2,396.0,48.93,81.65
43301,206.1,396.0,48.96,81.62
43302,206.1,396.0,48.99,81.6
43303,206.0,396.0,49.03,81.59
43304,206.0,396.0,49.05,81.58
43305,206.1,396.0,49.08,81.6
43306,206.1,396.0,49.11,81.6
43307,206.0,396.0,49.13,81.58
43308,205.9,396.0,49.17,81.55
43309,205.9,396.0,49.2,81.55
43310,205.9,396.0,49.23,81.55
43311,206.0,396.0,49.25,81.56
43312,205.9,396.0,49.29,81.53
43313,205.9,396.0,49.33,81.55
43314,205.9,396.0,49.35,81.54
43315,206.0,396.0,49.38,81.58
43316,206.8,396.0,49.4,81.87
43317,206.8,396.0,49.43,81.89
43318,206.9,396.0,49.46,81.92
43319,206.8,396.0,49.5,81.91
43320,206.8,396.0,49.52,81.91
43321,206.8,396.0,49.55,81.89
43322,206.8,396.0,49.58,81.9
43323,206.9,396.0,49.62,81.92
43324,206.9,396.0,49.64,81.92
43325,206.9,396.0,49.67,81.92
43326,206.9,396.0,49.7,81.92
43327,206.8,396.0,49.73,81.91
43328,206.8,396.0,49.77,81.91
43329,206.9,396.0,49.8,81.92
43330,206.9,396.0,49.82,81.92
43331,206.9,396.0,49.85,81.92
43332,206.9,396.0,49.88,81.92
43333,206.8,396.0,49.92,81.9
43334,206.8,396.0,49.95,81.88
43335,206.7,396.0,49.98,81.87
43336,206.8,396.0,50.0,81.9
43337,206.8,396.0,50.04,81.9
43338,206.8,396.0,50.08,81.9
43339,206.8,396.0,50.1,81.9
43340,206.8,396.0,50.13,81.9
43341,206.8,396.0,50.16,81.89
43342,206.7,396.0,50.2,81.85
43343,206.7,396.0,50.23,81.85
43344,206.6,396.0,50.27,81.83
43345,206.7,396.0,50.29,81.84
43346,206.7,396.0,50.33,81.84
43347,206.6,396.0,50.36,81.82
43348,206.6,396.0,50.39,81.8
43349,206.6,396.0,50.42,81.82
43350,206.7,396.0,50.45,81.84
43351,206.6,396.0,50.48,81.8
43352,206.6,396.0,50.51,81.8
43353,206.5,396.0,50.55,81.78
43354,206.6,396.0,50.57,81.8
43355,206.5,396.0,50.6,81.78
43356,206.5,396.0,50.63,81.77
43357,206.5,396.0,50.67,81.77
43358,206.4,396.0,50.7,81.73
43359,206.4,396.0,50.72,81.75
43360,206.4,396.0,50.76,81.73
43361,206.4,396.0,50.79,81.73
43362,206.4,396.0,50.82,81.73
43363,206.4,396.0,50.85,81.73
43364,206.4,396.0,50.88,81.73
43365,206.4,396.0,50.91,81.73
43366,206.4,396.0,50.94,81.72
43367,206.3,396.0,50.97,81.71
43368,206.3,396.0,51.0,81.7
43369,206.4,396.0,51.03,81.73
43370,206.4,396.0,51.05,81.73
43371,206.4,396.0,51.09,81.73
43372,206.5,396.0,51.13,81.77
43373,206.4,396.0,51.16,81.73
43374,206.4,396.0,51.18,81.73
43375,206.4,396.0,51.21,81.73
43376,206.4,396.0,51.25,81.73
43377,206.3,396.0,51.28,81.71
43378,206.4,396.0,51.31,81.73
43379,206.3,396.0,51.34,81.7
43380,206.3,396.0,51.37,81.7
43381,206.3,396.0,51.4,81.68
43382,206.3,396.0,51.44,81.69
43383,206.3,396.0,51.47,81.68
43384,206.3,396.0,51.49,81.69
43385,206.3,396.0,51.53,81.7
43386,206.1,396.0,51.56,81.62
43387,206.2,396.0,51.59,81.65
43388,206.2,396.0,51.61,81.65
43389,206.1,396.0,51.65,81.63
43390,206.2,396.0,51.68,81.64
43391,206.1,396.0,51.72,81.62
43392,206.1,396.0,51.75,81.61
43393,206.0,396.0,51.78,81.6
43394,206.0,396.0,51.81,81.59
43395,206.0,396.0,51.84,81.58
43396,206.0,396.0,51.88,81.58
43397,206.0,396.0,51.9,81.57
43398,206.0,396.0,51.94,81.57
43399,206.0,396.0,51.96,81.59
43400,206.0,396.0,51.99,81.57
43401,205.9,396.0,52.02,81.55
43402,205.9,396.0,52.05,81.55
43403,206.0,396.0,52.09,81.58
43404,206.0,396.0,52.11,81.58
43405,205.9,396.0,52.14,81.54
43406,206.0,396.0,52.17,81.56
43407,206.0,396.0,52.21,81.56
43408,205.9,396.0,52.24,81.55
43409,206.0,396.0,52.26,81.56
43410,205.9,396.0,52.3,81.55
43411,205.9,396.0,52.33,81.55
43412,205.9,396.0,52.37,81.54
43413,206.0,396.0,52.39,81.58
43414,206.0,396.0,52.42,81.58
43415,205.9,396.0,52.45,81.56
43416,205.9,396.0,52.49,81.53
43417,205.9,396.0,52.52,81.53
43418,205.9,396.0,52.54,81.54
43419,206.0,396.0,52.57,81.58
43420,205.9,396.0,52.61,81.54
43421,205.9,396.0,52.64,81.53
43422,205.9,396.0,52.66,81.54
43423,205.9,396.0,52.69,81.53
43424,206.8,396.0,52.72,81.91
43425,206.9,396.0,52.76,81.92
43426,206.8,396.0,52.79,81.91
43427,206.8,396.0,52.82,81.9
43428,206.8,396.0,52.85,81.9
43429,206.8,396.0,52.89,81.9
43430,206.8,396.0,52.92,81.88
43431,206.8,396.0,52.94,81.9
43432,206.7,396.0,52.98,81.87
43433,206.7,396.0,53.01,81.85
43434,206.7,396.0,53.05,81.84
43435,206.6,396.0,53.07,81.82
43436,206.7,396.0,53.1,81.85
43437,206.7,396.6,53.13,81.97
43438,206.7,396.0,53.16,81.85
43439,206.6,396.0,53.19,81.81
43440,206.7,396.0,53.22,81.85
43441,206.7,396.0,53.26,81.85
43442,206.7,396.0,53.29,81.85
43443,206.7,396.0,53.32,81.85
43444,206.7,396.0,53.36,81.85
43445,206.6,396.0,53.39,81.81
43446,206.6,396.0,53.42,81.82
43447,206.7,396.0,53.45,81.85
43448,206.6,396.5,53.48,81.92
43449,206.5,396.2,53.51,81.82
43450,206.5,396.0,53.54,81.79
43451,206.6,396.0,53.57,81.8
43452,206.5,396.0,53.6,81.79
43453,206.5,396.0,53.63,81.79
43454,206.5,396.0,53.66,81.77
43455,206.6,396.0,53.7,81.8
43456,206.6,396.0,53.72,81.8
43457,206.5,396.0,53.76,81.78
43458,206.5,396.3,53.79,81.84
43459,206.5,396.3,53.82,81.84
43460,206.5,397.0,53.84,81.98
43461,206.5,397.0,53.87,81.98
43462,206.5,396.0,53.9,81.77
43463,206.5,396.0,53.94,81.76
43464,206.5,396.0,53.98,81.77
43465,206.5,396.0,54.0,81.77
43466,206.5,396.0,54.04,81.77
43467,206.5,396.0,54.07,81.77
43468,206.5,396.0,54.11,81.77
43469,206.5,396.0,54.14,81.77
43470,206.5,396.0,54.17,81.77
43471,206.4,396.4,54.21,81.84
43472,206.5,396.2,54.24,81.81
43473,206.5,396.0,54.28,81.77
43474,206.5,396.0,54.3,81.77
43475,206.5,396.0,54.34,81.77
43476,206.5,396.9,54.37,81.95
43477,206.5,396.3,54.41,81.85
43478,206.6,397.0,54.44,82.0
43479,206.5,397.0,54.47,82.0
43480,206.5,396.6,54.51,81.89
43481,206.5,396.2,54.55,81.81
43482,206.5,397.0,54.59,81.98
43483,206.5,396.8,54.61,81.95
43484,206.6,396.0,54.64,81.8
43485,206.5,396.3,54.68,81.85
43486,206.5,397.0,54.72,82.0
43487,206.5,397.0,54.74,81.98
43488,206.5,397.0,54.78,81.98
43489,206.5,396.6,54.81,81.89
43490,206.5,396.8,54.85,81.95
43491,206.5,397.0,54.89,81.98
43492,206.5,396.8,54.91,81.96
43493,206.5,396.0,54.94,81.77
43494,206.5,396.3,54.97,81.84
43495,206.5,397.0,55.0,81.96
43496,206.5,397.0,55.03,81.98
43497,206.4,397.0,55.05,81.96
43498,206.5,397.0,55.09,81.99
43499,206.5,396.8,55.11,81.95
43500,206.5,396.5,55.14,81.88
43501,206.5,397.0,55.17,81.96
43502,206.5,397.0,55.21,81.97
43503,206.5,397.0,55.24,81.98
43504,206.5,396.3,55.27,81.84
43505,206.5,397.0,55.31,81.98
43506,206.5,396.9,55.34,81.94
43507,206.5,396.5,55.37,81.88
43508,206.5,396.3,55.39,81.84
43509,206.5,396.5,55.42,81.88
43510,206.5,396.9,55.45,81.94
43511,206.5,396.3,55.49,81.84
43512,206.5,397.0,55.52,81.98
43513,206.5,397.0,55.55,81.98
43514,206.5,397.0,55.58,81.98
43515,206.4,396.4,55.62,81.84
43516,206.5,397.0,55.66,81.98
43517,206.5,397.0,55.68,81.98
43518,206.5,397.0,55.72,81.96
43519,206.5,397.0,55.76,81.98
43520,206.5,397.0,55.8,81.98
43521,206.5,397.0,55.82,81.98
43522,206.5,397.0,55.85,81.98
43523,206.5,397.0,55.88,81.98
43524,206.5,397.0,55.91,81.98
43525,206.4,397.0,55.95,81.95
43526,206.5,397.0,55.97,81.99
43527,206.5,397.0,56.0,81.99
43528,206.5,397.0,56.03,81.97
43529,206.5,397.0,56.07,81.97
43530,206.5,397.0,56.1,81.99
43531,206.5,397.0,56.12,81.99
43532,206.4,397.0,56.15,81.96
43533,206.5,397.0,56.19,81.96
43534,206.5,397.0,56.22,81.96
43535,206.5,397.0,56.24,81.96
43536,206.4,397.0,56.27,81.96
43537,206.4,397.0,56.3,81.96
43538,206.5,397.0,56.33,81.97
43539,206.4,397.0,56.36,81.96
43540,206.5,397.0,56.39,81.97
43541,206.5,397.0,56.43,81.98
43542,206.5,397.0,56.45,81.98
43543,206.5,397.0,56.49,81.98
43544,206.5,397.0,56.52,81.97
43545,206.5,397.0,56.56,81.97
43546,206.5,397.0,56.59,81.98
43547,206.5,397.0,56.62,81.98
43548,206.5,397.0,56.65,81.98
43549,206.5,397.0,56.68,81.98
43550,206.5,397.0,56.71,81.98
43551,206.5,397.0,56.74,81.98
43552,206.4,397.0,56.77,81.95
43553,206.5,397.0,56.8,81.98
43554,206.4,397.0,56.83,81.94
43555,206.4,397.0,56.86,81.96
43556,206.5,397.0,56.89,81.98
43557,206.4,397.0,56.92,81.96
43558,206.5,397.0,56.95,81.97
43559,206.5,397.0,56.99,81.98
43560,206.5,397.0,57.01,81.96
43561,206.5,397.0,57.04,81.96
43562,206.5,397.0,57.07,81.98
43563,206.5,397.0,57.11,81.97
43564,206.4,397.0,57.13,81.93
43565,205.6,397.0,57.16,81.62
43566,193.7,396.0,57.19,76.69
43567,187.5,396.0,57.22,74.25
43568,187.5,396.0,57.26,74.25
43569,187.5,396.0,57.28,74.24
43570,187.5,396.0,57.32,74.24
43571,187.5,396.0,57.34,74.25
43572,187.5,396.0,57.37,74.23
43573,187.5,396.0,57.4,74.24
43574,187.5,396.0,57.43,74.24
43575,187.4,396.0,57.46,74.23
43576,187.5,396.0,57.48,74.25
43577,187.5,396.0,57.51,74.25
43578,187.5,396.0,57.54,74.25
43579,187.5,396.0,57.57,74.25
43580,187.4,396.0,57.6,74.23
43581,187.5,396.0,57.62,74.24
43582,187.5,396.0,57.65,74.25
43583,187.5,396.0,57.67,74.25
43584,187.5,396.0,57.71,74.25
43585,187.5,396.0,57.73,74.26
43586,187.5,396.0,57.76,74.26
43587,187.5,396.0,57.78,74.27
43588,187.5,396.0,57.81,74.26
43589,187.5,396.0,57.85,74.24
43590,187.5,396.0,57.87,74.25
43591,187.6,396.0,57.9,74.27
43592,187.5,396.0,57.92,74.25
43593,187.4,396.0,57.95,74.22
43594,187.5,396.0,57.97,74.25
43595,187.4,396.0,58.01,74.22
43596,187.4,396.0,58.04,74.23
43597,187.4,396.0,58.06,74.2
43598,187.4,396.0,58.09,74.2
43599,187.4,396.0,58.11,74.2
43600,187.4,396.0,58.15,74.2
43601,187.4,396.0,58.17,74.2
43602,187.5,396.0,58.21,74.23
43603,187.4,396.0,58.23,74.22
43604,187.5,396.0,58.26,74.25
43605,187.5,396.0,58.29,74.25
43606,187.5,396.0,58.32,74.24
43607,187.4,396.0,58.35,74.23
43608,187.3,396.0,58.38,74.18
43609,187.5,396.0,58.4,74.25
43610,187.5,396.0,58.43,74.24
43611,187.5,396.0,58.47,74.24
43612,187.5,396.0,58.49,74.23
43613,187.5,396.0,58.53,74.25
43614,187.5,396.0,58.55,74.25
43615,187.5,396.0,58.57,74.25
43616,187.5,396.0,58.61,74.26
43617,187.5,396.0,58.64,74.25
43618,187.5,396.0,58.67,74.25
43619,187.5,396.0,58.7,74.25
43620,187.4,396.0,58.72,74.22
43621,187.5,396.0,58.75,74.25
43622,187.5,396.0,58.79,74.25
43623,187.5,396.0,58.82,74.25
43624,187.5,396.0,58.84,74.23
43625,187.5,396.0,58.87,74.25
43626,187.5,396.0,58.9,74.25
43627,187.5,396.0,58.93,74.25
43628,187.5,396.0,58.95,74.25
43629,187.5,396.0,58.98,74.25
43630,187.4,396.0,59.0,74.22
43631,187.5,396.0,59.04,74.25
43632,187.5,396.0,59.07,74.25
43633,187.5,396.0,59.09,74.25
43634,187.5,396.0,59.12,74.25
43635,187.5,396.0,59.14,74.24
43636,187.5,396.0,59.18,74.23
43637,187.4,396.0,59.21,74.2
43638,187.4,396.0,59.24,74.2
43639,187.5,396.0,59.26,74.25
43640,187.5,396.0,59.29,74.25
43641,187.5,396.0,59.32,74.25
43642,187.4,396.0,59.36,74.22
43643,187.5,396.0,59.38,74.26
43644,187.5,396.0,59.41,74.25
43645,187.5,396.0,59.45,74.24
43646,187.5,396.0,59.47,74.25
43647,187.5,396.0,59.51,74.25
43648,187.5,396.0,59.53,74.25
43649,187.5,396.0,59.56,74.25
43650,187.5,396.0,59.59,74.25
43651,187.5,396.0,59.62,74.25
43652,187.5,396.0,59.65,74.26
43653,187.4,396.0,59.68,74.22
43654,187.5,396.0,59.7,74.25
43655,187.5,396.0,59.72,74.25
43656,187.4,396.0,59.75,74.22
43657,187.4,396.0,59.77,74.23
43658,187.5,396.0,59.81,74.24
43659,187.5,396.0,59.83,74.25
43660,187.5,396.0,59.86,74.25
43661,187.5,396.0,59.88,74.25
43662,187.4,396.0,59.91,74.22
43663,187.4,396.0,59.95,74.22
43664,187.5,396.0,59.97,74.25
43665,187.4,396.0,60.0,74.22
43666,187.4,396.0,60.02,74.2
43667,187.5,396.0,60.05,74.24
43668,187.5,396.0,60.08,74.25
43669,187.4,396.0,60.11,74.22
43670,187.5,396.0,60.13,74.25
43671,187.5,396.0,60.16,74.25
43672,187.5,396.0,60.19,74.25
43673,187.5,396.0,60.21,74.25
43674,187.5,396.0,60.25,74.25
43675,187.5,396.0,60.28,74.24
43676,187.5,396.0,60.3,74.24
43677,187.4,396.0,60.32,74.23
43678,187.5,396.0,60.35,74.25
43679,187.5,396.0,60.38,74.25
43680,187.5,396.0,60.41,74.25
43681,187.5,396.0,60.44,74.25
43682,187.5,396.0,60.46,74.25
43683,187.5,396.0,60.49,74.24
43684,187.4,396.0,60.51,74.2
43685,187.5,396.0,60.54,74.24
43686,187.5,396.0,60.57,74.25
43687,187.5,396.0,60.6,74.25
43688,187.4,396.0,60.62,74.22
43689,187.5,396.0,60.64,74.25
43690,187.5,396.0,60.68,74.25
43691,187.5,396.0,60.72,74.25
43692,187.5,396.0,60.74,74.24
43693,187.4,396.0,60.77,74.23
43694,187.4,396.0,60.79,74.22
43695,187.5,396.0,60.82,74.24
43696,187.5,396.0,60.85,74.25
43697,187.5,396.0,60.88,74.25
43698,187.5,396.0,60.9,74.25
43699,187.5,396.0,60.93,74.25
43700,187.4,396.0,60.95,74.22
43701,187.5,396.0,60.98,74.24
43702,187.4,396.0,61.01,74.23
43703,187.5,396.0,61.03,74.25
43704,187.5,396.0,61.06,74.25
43705,187.4,396.0,61.08,74.22
43706,187.4,396.0,61.11,74.22
43707,187.4,396.0,61.13,74.22
43708,187.5,396.0,61.17,74.25
43709,187.4,396.0,61.2,74.23
43710,187.5,396.0,61.23,74.23
43711,187.4,396.0,61.25,74.23
43712,187.4,396.0,61.27,74.22
43713,187.4,396.0,61.31,74.22
43714,187.5,396.0,61.34,74.25
43715,187.5,396.0,61.37,74.25
43716,187.5,396.0,61.39,74.25
43717,187.5,396.0,61.42,74.25
43718,187.5,396.0,61.45,74.25
43719,187.5,396.0,61.48,74.25
43720,187.5,396.0,61.5,74.25
43721,187.5,396.0,61.52,74.25
43722,187.5,396.5,61.55,74.34
43723,187.5,396.3,61.57,74.31
43724,187.5,396.5,61.61,74.34
43725,187.5,396.0,61.63,74.25
43726,187.4,396.0,61.66,74.22
43727,187.4,396.0,61.69,74.23
43728,187.5,396.7,61.71,74.38
43729,187.5,396.0,61.75,74.25
43730,187.5,396.0,61.77,74.25
43731,187.5,396.0,61.8,74.25
43732,187.5,396.0,61.82,74.25
43733,187.5,396.5,61.85,74.36
43734,187.6,397.0,61.88,74.46
43735,187.5,396.3,61.92,74.33
43736,187.5,396.3,61.95,74.31
43737,187.6,397.0,61.97,74.46
43738,187.6,397.0,62.0,74.46
43739,187.5,397.0,62.02,74.45
43740,187.5,397.0,62.07,74.43
43741,187.5,397.0,62.09,74.44
43742,187.5,397.0,62.12,74.44
43743,187.5,396.7,62.15,74.4
43744,187.5,396.0,62.17,74.25
43745,187.5,396.3,62.2,74.31
43746,187.5,397.0,62.23,74.44
43747,187.5,397.0,62.26,74.44
43748,187.5,397.0,62.28,74.44
43749,187.5,397.0,62.32,74.44
43750,187.5,397.0,62.34,74.44
43751,187.4,397.0,62.37,74.41
43752,187.4,397.0,62.4,74.42
43753,187.4,397.0,62.43,74.39
43754,187.4,396.7,62.45,74.33
43755,187.5,396.7,62.47,74.36
43756,187.4,396.4,62.51,74.31
43757,187.4,397.0,62.53,74.39
43758,187.4,396.5,62.57,74.3
43759,187.4,396.2,62.59,74.23
43760,187.4,396.4,62.62,74.28
43761,187.4,397.0,62.65,74.39
43762,187.4,396.3,62.68,74.26
43763,187.4,397.0,62.71,74.39
43764,187.4,397.0,62.74,74.39
43765,187.4,397.0,62.76,74.39
43766,187.4,397.0,62.79,74.39
43767,187.4,397.0,62.82,74.39
43768,187.4,397.0,62.84,74.39
43769,187.4,397.0,62.88,74.39
43770,187.4,397.0,62.9,74.39
43771,187.4,397.0,62.93,74.39
43772,187.4,397.0,62.96,74.39
43773,187.4,397.0,62.99,74.39
43774,187.5,397.0,63.02,74.42
43775,187.4,397.0,63.04,74.39
43776,187.4,397.0,63.07,74.39
43777,187.4,397.0,63.1,74.39
43778,187.4,397.0,63.12,74.39
43779,187.4,397.0,63.14,74.41
43780,187.5,397.0,63.16,74.44
43781,187.4,397.0,63.19,74.41
43782,187.4,397.0,63.21,74.4
43783,187.4,396.5,63.26,74.31
43784,187.5,396.8,63.28,74.41
43785,187.5,397.0,63.31,74.44
43786,187.4,397.0,63.34,74.41
43787,187.5,397.0,63.36,74.43
43788,187.4,397.0,63.4,74.41
43789,187.5,397.0,63.43,74.42
43790,187.5,397.0,63.45,74.44
43791,187.5,397.0,63.47,74.44
43792,187.5,397.0,63.51,74.42
43793,187.5,397.0,63.53,74.44
43794,187.5,397.0,63.56,74.42
43795,187.5,397.0,63.59,74.44
43796,187.5,397.0,63.61,74.44
43797,187.4,397.0,63.64,74.41
43798,187.5,397.0,63.66,74.42
43799,187.4,397.0,63.69,74.39
43800,187.5,397.0,63.72,74.42
43801,187.4,397.0,63.75,74.39
43802,187.4,397.0,63.77,74.39
43803,187.4,397.0,63.8,74.42
43804,187.4,397.0,63.83,74.41
43805,187.5,397.0,63.87,74.42
43806,187.4,397.0,63.89,74.41
43807,187.5,397.0,63.92,74.43
43808,187.5,397.0,63.94,74.44
43809,187.5,397.0,63.97,74.42
43810,187.5,397.0,64.01,74.42
43811,187.5,397.0,64.03,74.44
43812,187.5,397.0,64.06,74.43
43813,187.4,397.0,64.09,74.41
43814,187.5,397.0,64.11,74.43
43815,187.4,397.0,64.15,74.39
43816,187.4,397.0,64.18,74.39
43817,187.4,397.0,64.2,74.39
43818,187.4,397.0,64.22,74.41
43819,187.4,397.0,64.25,74.41
43820,187.4,397.0,64.27,74.39
43821,187.4,397.0,64.31,74.39
43822,187.4,397.0,64.34,74.39
43823,187.4,397.0,64.37,74.39
43824,187.4,397.0,64.39,74.41
43825,187.5,397.0,64.42,74.44
43826,187.5,397.0,64.45,74.44
43827,187.5,397.0,64.47,74.42
43828,187.5,397.0,64.5,74.42
43829,187.5,397.0,64.53,74.44
43830,187.5,397.0,64.55,74.43
43831,187.4,397.0,64.58,74.39
43832,187.5,397.0,64.61,74.43
43833,187.5,397.0,64.64,74.44
43834,187.3,397.0,64.67,74.37
43835,187.4,397.0,64.7,74.39
43836,187.4,397.0,64.72,74.39
43837,187.4,397.0,64.76,74.39
43838,187.4,397.0,64.78,74.39
43839,187.4,397.0,64.8,74.39
43840,187.4,397.0,64.82,74.39
43841,187.4,397.0,64.85,74.39
43842,187.4,397.0,64.87,74.39
43843,187.4,397.0,64.9,74.39
43844,187.4,397.0,64.93,74.39
43845,187.3,397.0,64.95,74.36
43846,187.4,397.0,64.98,74.39
43847,187.3,397.0,65.01,74.38
43848,187.3,397.0,65.04,74.36
43849,187.4,397.0,65.07,74.39
43850,187.3,397.0,65.1,74.37
43851,187.3,397.0,65.12,74.37
43852,187.3,397.0,65.15,74.36
43853,187.4,397.0,65.19,74.38
43854,187.4,397.2,65.22,74.41
43855,187.3,397.4,65.25,74.44
43856,187.3,397.0,65.27,74.36
43857,187.4,397.0,65.3,74.39
43858,187.4,397.0,65.32,74.39
43859,187.3,397.0,65.36,74.36
43860,187.4,397.0,65.4,74.39
43861,187.3,397.0,65.42,74.37
43862,187.4,397.0,65.44,74.39
43863,187.4,397.2,65.46,74.42
43864,187.3,398.0,65.51,74.56
43865,187.4,397.0,65.54,74.39
43866,187.3,397.0,65.56,74.37
43867,187.3,397.7,65.59,74.49
43868,187.3,397.0,65.62,74.36
43869,187.3,397.0,65.66,74.36
43870,187.3,397.0,65.68,74.36
43871,187.3,397.0,65.71,74.36
43872,187.3,397.0,65.73,74.34
43873,187.3,397.0,65.76,74.35
43874,187.3,397.0,65.78,74.35
43875,187.3,397.0,65.81,74.36
43876,187.3,397.7,65.84,74.48
43877,187.3,397.0,65.87,74.36
43878,187.3,397.5,65.89,74.45
43879,187.3,397.8,65.91,74.52
43880,187.3,397.0,65.96,74.36
43881,187.2,397.3,65.99,74.39
43882,187.3,398.0,66.01,74.54
43883,187.2,397.0,66.04,74.31
43884,187.2,397.0,66.06,74.32
43885,187.3,397.4,66.1,74.44
43886,187.2,397.8,66.13,74.47
43887,187.3,397.0,66.17,74.35
43888,187.3,397.7,66.19,74.49
43889,187.3,397.5,66.21,74.46
43890,187.3,397.7,66.24,74.5
43891,187.3,397.0,66.27,74.36
43892,187.3,398.0,66.29,74.55
43893,187.3,398.0,66.32,74.55
43894,187.3,398.0,66.34,74.55
43895,187.3,398.0,66.37,74.55
43896,187.3,398.0,66.4,74.55
43897,187.3,397.8,66.42,74.52
43898,187.3,397.6,66.45,74.47
43899,187.3,397.7,66.48,74.49
43900,187.3,397.0,66.5,74.36
43901,187.3,398.0,66.53,74.55
43902,187.3,397.3,66.56,74.42
43903,187.3,398.0,66.59,74.54
43904,187.3,398.0,66.62,74.55
43905,187.3,398.0,66.65,74.55
43906,187.3,397.3,66.67,74.42
43907,187.3,398.0,66.7,74.55
43908,187.3,398.0,66.73,74.53
43909,187.3,398.0,66.76,74.54
43910,187.3,398.0,66.78,74.53
43911,187.2,397.4,66.81,74.41
43912,187.2,398.0,66.84,74.52
43913,187.3,398.0,66.87,74.56
43914,187.3,398.0,66.9,74.56
43915,187.3,397.7,66.93,74.48
43916,187.3,397.7,66.96,74.48
43917,187.3,398.0,67.0,74.55
43918,187.3,398.0,67.02,74.55
43919,187.3,398.0,67.05,74.54
43920,187.3,398.0,67.08,74.55
43921,187.3,398.0,67.11,74.55
43922,187.3,398.0,67.13,74.55
43923,187.3,398.0,67.17,74.55
